date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:59	45056/45056	---M--	200	added ('OK')	application/vnd.visio	etag:%22b000-557d9bfd945d5%22	http://web.cs.iastate.edu/~cs227/labs/lab1/filetree0.vsd	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/filetree0.vsd	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:08:59	4167/4167	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:08:59%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab6/	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab6/index.html	(from http://web.cs.iastate.edu/~cs227/labs/)
21:08:59	5005/5005	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:08:59%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab7/	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab7/index.html	(from http://web.cs.iastate.edu/~cs227/labs/)
21:09:00	3323/3323	---M--	200	added ('OK')	text/html	etag:%22cfb-557d9c00781ca%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page01.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page01.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:00	6078/6078	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:00%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab8/	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab8/index.html	(from http://web.cs.iastate.edu/~cs227/labs/)
21:09:00	6286/6286	---M--	200	added ('OK')	text/html	etag:%22188e-557d9c012ebab%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page02.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page02.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:00	1771/1771	---M--	200	added ('OK')	text/html	etag:%226eb-557d9c021ef6d%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page03.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page03.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:01	6557/6557	---M--	200	added ('OK')	text/html	etag:%22199d-557d9c038462f%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page04.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page04.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:01	4587/4587	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:01%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab9/	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab9/index.html	(from http://web.cs.iastate.edu/~cs227/labs/)
21:09:01	4380/4380	---M--	200	added ('OK')	text/html	etag:%22111c-557d9c055961a%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page05.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page05.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
